ROMAN URDU REVIEWS,TRANSLATED IN ENGLISH ,SENTIMENT
 beghairat harami chor ,"""Shameless, thieving scoundrel.""",very negative
 allah pak nazer e bd sy bechye or hamaisha bohat tarkian dy ameeen ,"May Allah protect us from evil eyes and always bless us, Amen.",very positive
 main bhai nahi behan hun..or pnd yai kapapni jaga baat bilkul theak kar rahe hain laikin phir b ek jawan bachi ka mamla hai ma baap khud b to esa nahi chahty hon gy na ky izzat uchly hamari..khair allahhum sab py apna reham kry or hmari oladonpy b ,"I'm not a brother but a sister... and PND and KP are absolutely right in their place, but then it's a matter of a young girl, parents themselves wouldn't want our respect to be tarnished... Anyway, may Allah have mercy on all of us and our children.",neutral
 mujhe aisa lagta hai tujhay li ke jai ,"""I feel like you should be taken away.""",neutral
 sahi baat hai bhai ,"That's right, brother.",positive
 unhon ny kal raat party main bohat maza kar liya. ,They had a lot of fun at the party last night.,very positive
 great admi aadmi ,"""Great man, human being.""",very positive
 drug ke thara fas gaya yai song    ,This song got stuck like a drug.,negative
 allah hamain hajj ki sadat ata kry ameen ,May Allah grant us the privilege of performing Hajj. Ameen.,very positive
 kya kahu iss song ke bari me one of the best song in my life    ,"""What should I say about this song? One of the best songs in my life.""",very positive
 please iske chauthi seasonapbnao ,Please make its fourth season.,neutral
 oye chotu tum tou payare honi ky saath sath bohat genius b ho ,"""Hey Chotu, you're not just cute, but also very genius.""",Positive
 lol thank you so much qatil ,"lol thank you so much, murderer.",Positive
 isko imran khan ke siva kuchh qatil nazar nahi aata na hi qatil singer achcha to ban saka or na hi politician ,"Except for Imran Khan, nothing else appears except a murderer. Neither could become a good singer nor a good politician.",neutral
 qatil haa meri jan ,"Murderer, yes my dear.",Positive
 oh teri yai pakistani song hai mujhe abhi pata chal raha hai yrrr india se match karti hai really im shocked but happy ,"Oh my, this is a Pakistani song, I'm just finding out now, dude, it's competing with India. Really, I'm shocked but happy.",positive
 acha hai face ky lie bohot ,"""It's good for the face,",very positive
 bhoot achayyy qatil ,"Very nice, Qatil.",very positive
 sonu khan            ,Sonu Khan.,neutral
 money chaheye ,Need money.,neutral
 ya allah madad ,"""Ya Allah, help us.""",very positive
 kya fazool banda hai kya dikha rha. ,"What a useless guy, what is he showing?",very negative
 jo us se bahter lagta han us ko do. , The one who looks better than us has done it to us.,Positive
 hehehe meri billi mujhy he miyaun..ðÿðÿðÿðÿðÿ ,"Hehehe, my cat only meows at me. ????????",Negative
 lorry ny he apni sabiq boy friend actor nicholas cage ke zariye johnny depp ko filmy duniya main mutarrif karwaya tha ,"""It was Lori who introduced her former boyfriend, actor Nicholas Cage, to Johnny Depp in the film world.""",Positive
 yar sedhi bt no bakwas naeem ko bolo whatsapp group main send kar dy jis main mam tehreem add haag lag jae ji aag qatil ,"""Just see, what benefit will your children get from this... murderer.""",Negative
 is roney walay ko scene nahi mila i think   ,This crying person didn't get a scene I think.,Negative
 agar feroz khan na hota daramy me to darama 2 million bhi cross na karta ,"If Feroz Khan weren't in the drama, it wouldn't have crossed 2 million.",neutral
 bhata leya qatil ,"""Well said, Qatil.""",Negative
 ek baar darood e pak par kar agay forward kren qatil ,"Truly, this is a great song, brother.",Positive
 subhanallah. stay blessed always. hats off        ,Subhanallah. Stay blessed always. Hats off.,very positive
 mashallha allahapko slamt rky ,May Allah keep you safe.,very positive
 heheheheheheh yakeen mano mera notification part asy he bhra hota ,"Heheheheheheh, I always get excited when I see my notification.",Positive
 dil dil pakistan ,"Heart, heart, Pakistan.",neutral
 duniya kis taraf ja rahe ,"""Where is the world heading?""",neutral
